Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\ops\common.py:57(new_method)
        8    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1525(_format_native_types)
       10    0.002    0.000    0.002    0.000 {built-in method io.open}
       42    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:379(setitem)
        3    0.000    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:5251(drop)
        7    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4164(_set_item)
        3    0.000    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:4475(drop)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:837(exec_module)
        3    0.000    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:565(get_result)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\vocabulary\src\interro.py:250(get_known_words)
       86    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\construction.py:493(sanitize_array)
        4    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:282(_format_native_types)
       43    0.001    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1183(iset)
        4    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\multi.py:435(from_arrays)
       30    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3894(_get_value)
        1    0.000    0.000    0.002    0.002 C:\Users\benoi\vocabulary\src\interro.py:332(flag_bad_words)
        3    0.000    0.000    0.002    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:4512(_drop_axis)
        9    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\construction.py:100(arrays_to_mgr)
       10    0.000    0.000    0.002    0.000 C:\Users\benoi\vocabulary\src\interro.py:201(get_next_index)
        4    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arrays\categorical.py:2986(factorize_from_iterables)
       69    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1276(_getitem_axis)
