Date;% test;% rattrapage
22/08/2022;82;83.0
23/08/2022;91;78.0
24/08/2022;83;85.0
25/08/2022;85;87.0
26/08/2022;76;61.0
27/08/2022;80;66.0
28/08/2022;80;70.0
29/08/2022;83;53.0
30/08/2022;87;91.0
31/08/2022;79;67.0
01/09/2022;79;80.0
02/09/2022;77;60.0
04/09/2022;83;86.0
06/09/2022;80;89.0
07/09/2022;75;78.0
08/09/2022;81;74.0
09/09/2022;77;62.0
10/09/2022;78;73.0
11/09/2022;87;64.0
16/09/2022;82;78.0
19/09/2022;88;83.0
22/09/2022;79;63.0
23/09/2022;82;83.0
24/09/2022;82;72.0
25/09/2022;80;72.0
26/09/2022;87;54.0
27/09/2022;81;75.0
28/09/2022;77;74.0
29/09/2022;84;100.0
30/09/2022;74;68.0
01/10/2022;82;83.0
02/10/2022;85;71.0
03/10/2022;88;64.0
04/10/2022;79;75.0
05/10/2022;85;85.0
06/10/2022;84;88.0
07/10/2022;73;92.0
08/10/2022;83;87.0
09/10/2022;87;92.0
11/10/2022;82;78.0
12/10/2022;82;81.0
13/10/2022;78;65.0
14/10/2022;81;60.0
15/10/2022;89;90.0
16/10/2022;86;71.0
17/10/2022;81;84.0
18/10/2022;80;61.0
19/10/2022;79;75.0
20/10/2022;82;75.0
21/10/2022;79;89.0
22/10/2022;81;82.0
23/10/2022;82;76.0
25/10/2022;82;82.0
26/10/2022;82;88.0
27/10/2022;85;93.0
28/10/2022;78;90.0
29/10/2022;84;79.0
30/10/2022;84;80.0
31/10/2022;71;66.0
01/11/2022;87;83.0
02/11/2022;81;88.0
03/11/2022;82;78.0
04/11/2022;79;90.0
05/11/2022;79;80.0
06/11/2022;86;77.0
07/11/2022;82;71.0
08/11/2022;91;100.0
09/11/2022;86;67.0
10/11/2022;80;63.0
11/11/2022;87;75.0
12/11/2022;92;67.0
13/11/2022;84;100.0
14/11/2022;79;81.0
15/11/2022;81;82.0
16/11/2022;84;88.0
17/11/2022;81;71.0
18/11/2022;76;68.0
19/11/2022;86;86.0
20/11/2022;83;75.0
21/11/2022;80;65.0
22/11/2022;79;53.0
23/11/2022;83;80.0
24/11/2022;83;76.0
25/11/2022;78;68.0
26/11/2022;87;85.0
27/11/2022;85;57.0
28/11/2022;77;85.0
29/11/2022;82;88.0
30/11/2022;82;72.0
01/12/2022;83;67.0
02/12/2022;87;55.0
03/12/2022;81;79.0
04/12/2022;79;67.0
05/12/2022;86;91.0
06/12/2022;81;71.0
07/12/2022;84;47.0
08/12/2022;84;71.0
09/12/2022;83;87.0
10/12/2022;89;91.0
11/12/2022;82;75.0
12/12/2022;85;79.0
13/12/2022;84;67.0
14/12/2022;85;62.0
15/12/2022;80;75.0
16/12/2022;84;77.0
17/12/2022;86;79.0
18/12/2022;87;73.0
19/12/2022;85;57.0
20/12/2022;79;75.0
21/12/2022;80;70.0
22/12/2022;80;61.0
23/12/2022;84;71.0
24/12/2022;76;76.0
25/12/2022;83;93.0
26/12/2022;88;100.0
27/12/2022;88;82.0
28/12/2022;87;58.0
29/12/2022;90;75.0
30/12/2022;92;100.0
31/12/2022;85;92.0
01/01/2023;81;75.0
02/01/2023;91;78.0
03/01/2023;81;76.0
04/01/2023;78;74.0
05/01/2023;80;68.0
06/01/2023;83;69.0
07/01/2023;90;100.0
08/01/2023;88;100.0
09/01/2023;85;60.0
10/01/2023;81;87.0
12/01/2023;78;72.0
13/01/2023;87;45.0
15/01/2023;83;75.0
16/01/2023;85;86.0
17/01/2023;82;88.0
18/01/2023;79;65.0
19/01/2023;83;88.0
20/01/2023;77;73.0
21/01/2023;87;85.0
22/01/2023;91;88.0
23/01/2023;83;92.0
24/01/2023;79;68.0
25/01/2023;84;67.0
26/01/2023;86;82.0
28/01/2023;80;80.0
29/01/2023;82;63.0
30/01/2023;81;62.0
31/01/2023;84;67.0
01/02/2023;82;89.0
02/02/2023;86;93.0
03/02/2023;80;67.0
04/02/2023;87;90.0
05/02/2023;87;100.0
06/02/2023;87;82.0
07/02/2023;86;73.0
08/02/2023;84;60.0
09/02/2023;80;88.0
10/02/2023;76;45.0
11/02/2023;85;71.0
12/02/2023;82;76.0
13/02/2023;85;79.0
14/02/2023;61;60.0
15/02/2023;85;83.0
17/02/2023;84;54.0
17/02/2023;73;62.0
18/02/2023;87;62.0
19/02/2023;80;82.0
20/02/2023;83;93.0
21/02/2023;82;93.0
22/02/2023;88;73.0
23/02/2023;89;82.0
24/02/2023;82;65.0
25/02/2023;82;94.0
26/02/2023;82;63.0
27/02/2023;77;83.0
28/02/2023;83;65.0
01/03/2023;84;87.0
16/04/2023;50;40.0
16/04/2023;100;100.0
16/04/2023;100;100.0
16/04/2023;100;100.0
16/04/2023;100;100.0
16/04/2023;100;100.0
50;50;50.0
60;60;60.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
100;100;100.0
60;60;60.0
100;100;100.0
100;100;100.0
100;100;100.0
70;70;70.0
70;70;70.0
50;50;50.0
50;50;50.0
50;50;50.0
100;100;100.0
100;100;100.0
100;100;100.0
50;50;50.0
50;50;50.0
0;0;0.0
0;0;0.0
33;33;33.0
80;80;80.0
0;0;0.0
50;50;50.0
0;0;0.0
50;50;50.0
0;0;0.0
80;80;80.0
40;40;40.0
60;60;60.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
40;40;40.0
70;70;70.0
